empire	id	km	percent	peak
Han Dynasty	Han_Dynasty	2.51	0.0436	100
Sassanid Empire, Iran	Sassanid_Empire_Iran	2.55	0.0444	621
Japanese Empire	Japanese_Empire	2.86	0.0497	1942
Achaemenid Empire, Iran	Achaemenid_Empire_Iran	3.08	0.0536	-500
Empire of Brazil	Empire_of_Brazil	3.28	0.0571	1880
Rashidun Caliphate	Rashidun_Caliphate	3.48	0.0604	654
Portuguese Empire	Portuguese_Empire	4.02	0.0698	1815
Abbasid Caliphate	Abbasid_Caliphate	4.29	0.0745	750
French Colonial Empire	French_Colonial_Empire	5.02	0.0873	1938
Yuan Dynasty	Yuan_Dynasty	5.41	0.094	1310
Qing Dynasty	Qing_Dynasty	5.68	0.0987	1759
Umayyad Caliphate	Umayyad_Caliphate	5.79	0.1007	661
Spanish Empire	Spanish_Empire	7.5	0.1304	1740
Russian Empire	Russian_Empire	8.8	0.1531	1866
Mongol Empire	Mongol_Empire	12.74	0.2229	1279
British Empire	British_Empire	12.82	0.2243	1922
