Longcode	State	District	Stateabbrev	Rep	PVI	Simplecook	Cookrating	Party	Code	Score	urban	rural	ag	manufacturing	rich	poverty	white	nonwhite	black	hispanic	nonhispanicwhite	old
5001300US5109	Virginia	9	VA	Rep. Morgan Griffith	R+15	Safe Rep	Solid Rep	Rep	VA-09	5	41.7	58.3	4	14.2	10.2	14.1	91.3	8.7	5.4	2	90.1	31.3
5001300US5110	Virginia	10	VA	OPEN (Wolf)	R+2	At-risk Rep	Lean Rep	Rep	VA-10	3	85.5	14.5	0.6	5.2	54	3.9	73.2	26.8	7	12.2	65.3	21.3
5001300US5111	Virginia	11	VA	Rep. Gerry Connolly	D+10	Safe Dem	Solid Dem	Dem	VA-11	11	100	0	0.2	2.9	49.2	3.6	59.8	40.2	13.3	17.9	47.6	21.2
5001300US5301	Washington	1	WA	Rep. Suzan DelBene	D+4	Safe Dem	Likely Dem	Dem	WA-01	10	80.6	19.4	2.2	14.4	36.7	6.7	81.5	18.5	1.3	8	76.6	23.9
5001300US5302	Washington	2	WA	Rep. Rick Larsen	D+8	Safe Dem	Solid Dem	Dem	WA-02	11	85.3	14.7	1.1	15.6	22.2	8	80.8	19.2	2.5	10.4	73.4	27.3
5001300US5303	Washington	3	WA	Rep. Jaime Herrera Beutler	R+2	Safe Rep	Solid Rep	Rep	WA-03	5	72.9	27.1	2	12.6	18.8	9.5	87.1	12.9	1.6	8.4	82.3	28.1
5001300US5304	Washington	4	WA	OPEN (Hastings)	R+13	Safe Rep	Solid Rep	Rep	WA-04	5	74.1	25.9	14.6	8.6	17.4	14.4	76.2	23.8	1	37	56.1	23.3
5001300US5305	Washington	5	WA	Rep. Cathy McMorris Rodgers	R+7	Safe Rep	Solid Rep	Rep	WA-05	5	77.4	22.6	2.4	8.5	15.1	12	88.7	11.3	1.6	5.9	85	27.9
5001300US5306	Washington	6	WA	Rep. Derek Kilmer	D+5	Safe Dem	Solid Dem	Dem	WA-06	11	76.5	23.5	1.4	8.6	20.1	9.1	81.6	18.4	3.5	7	77.5	31.4
5001300US5307	Washington	7	WA	Rep. Jim McDermott	D+29	Safe Dem	Solid Dem	Dem	WA-07	11	98.4	1.6	0.6	7.5	32.1	5.7	76.5	23.5	4.5	7.6	72	26.3
5001300US5308	Washington	8	WA	Rep. Dave Reichert	R+1	Safe Rep	Solid Rep	Rep	WA-08	5	83.4	16.6	2.8	12	33	7.2	80.7	19.3	2.2	10.8	74.5	23.1
5001300US5309	Washington	9	WA	Rep. Adam Smith	D+17	Safe Dem	Solid Dem	Dem	WA-09	11	100	0	0.5	11.3	28.4	11.2	54.7	45.3	11.5	11.1	48.1	23.6
5001300US5310	Washington	10	WA	Rep. Denny Heck	D+5	Safe Dem	Solid Dem	Dem	WA-10	11	92	8	1.1	8.2	20.1	8.9	75.9	24.1	6.3	10.5	69.3	25.2
5001300US5401	West Virginia	1	WV	Rep. David McKinley	R+14	Safe Rep	Solid Rep	Rep	WV-01	5	54.8	45.2	5	8.8	11	13.2	94.9	5.1	2.4	1	94.2	31.1
5001300US5402	West Virginia	2	WV	OPEN (Capito)	R+11	At-risk Rep	Lean Rep	Rep	WV-02	3	51.2	48.8	3.4	8.6	15.6	9.6	92.4	7.6	3.6	2	91	31.1
5001300US5403	West Virginia	3	WV	Rep. Nick Rahall	R+14	At-risk Dem	Tossup Dem	Dem	WV-03	8	40.2	59.8	8.2	7	9.7	16	93.8	6.2	3.9	0.8	93.3	32.2
5001300US5501	Wisconsin	1	WI	Rep. Paul Ryan	R+3	Safe Rep	Solid Rep	Rep	WI-01	5	84.5	15.5	0.9	20.1	21.2	8.7	88.7	11.3	5.1	9.3	81.9	27.1
5001300US5502	Wisconsin	2	WI	Rep. Mark Pocan	D+17	Safe Dem	Solid Dem	Dem	WI-02	11	75.8	24.2	2.3	12	22.3	7.4	87.3	12.7	4.4	6	83.6	24.9
5001300US5503	Wisconsin	3	WI	Rep. Ron Kind	D+5	Safe Dem	Solid Dem	Dem	WI-03	11	52.4	47.6	4.2	16.1	14.7	8	94.3	5.7	1.2	2.1	93	28.5
5001300US5504	Wisconsin	4	WI	Rep. Gwen Moore	D+23	Safe Dem	Solid Dem	Dem	WI-04	11	100	0	0.5	14.7	11.8	21.6	52.5	47.5	34.4	16	43.3	20.4
5001300US5505	Wisconsin	5	WI	Rep. Jim Sensenbrenner	R+13	Safe Rep	Solid Rep	Rep	WI-05	5	84.2	15.8	1.4	19.8	25.8	5.2	92.6	7.4	1.7	5.5	88.9	29.1
5001300US5506	Wisconsin	6	WI	Rep. Tom Petri	R+5	Safe Rep	Solid Rep	Rep	WI-06	5	66.1	33.9	2.7	24.4	17.7	6.4	93.3	6.7	1.5	4.1	90.6	29.8
5001300US5507	Wisconsin	7	WI	Rep. Sean Duffy	R+2	Safe Rep	Likely Rep	Rep	WI-07	4	34.8	65.2	4.5	18	14.2	8.6	94	6	0.7	1.9	92.6	32.1
5001300US5508	Wisconsin	8	WI	Rep. Reid Ribble	R+2	Safe Rep	Solid Rep	Rep	WI-08	5	63.4	36.6	2.7	22.5	18.1	7.2	91.3	8.7	1.2	4.6	88.3	27.7
5001300US5600	Wyoming	0	WY	Rep. Cynthia Lummis	R+22	Safe Rep	Solid Rep	Rep	WY-AL	5	64.8	35.2	12.7	3.4	20.7	8.5	90.9	9.1	1	9.4	84.6	26.8
