rank,prime,digits,year,type,
451,243*2^1923567-1,579054,2011,other,
448,2*47^346759+1,579816,2011,other,
429,89*2^1943337+1,585005,2011,other,
401,93*2^1965880+1,591791,2011,other,
390,148323*2^1973319-1,594034,2011,other,
384,8331405*2^1984565-1,597421,2011,other,
369,8331405*2^1993674-1,600163,2011,other,
356,428551*2^2006520+1,604029,2011,other,
343,8*10^608989-1,608990,2011,Near-repdigit,
328,75*2^2050637-1,617306,2011,other,
315,2186*7^739474-1,624932,2011,other,
291,57*2^2103370-1,633180,2011,other,
276,75*2^2130432-1,641326,2011,other,
275,61*2^2134577-1,642574,2011,other,
270,25*2^2141884+1,644773,2011,other,
250,404882*43^404882-1,661368,2011,Generalized,
246,2*179^294739+1,664004,2011,other,
244,165*2^2207550-1,664541,2011,other,
236,11*2^2230369+1,671410,2011,other,
226,1087*2^2293345-1,690369,2011,other,
221,15*2^2323205-1,699356,2011,other,
211,150209!+1,712355,2011,Factorial,
199,23*2^2425641+1,730193,2011,other,
187,11*2^2476839+1,745604,2011,other,
183,165*2^2500130-1,752617,2011,other,
174,9*2^2543551+1,765687,2011,other,
173,404*12^714558+1,771141,2011,other,
171,75*2^2562382-1,771356,2011,other,
167,13*2^2606075-1,784508,2011,other,
164,1243*2^2623707-1,789818,2011,other,
139,96*10^846519-1,846521,2011,Near-repdigit,
131,1207*2^2861901-1,861522,2011,other,
111,1095*2^2992587-1,900862,2011,other,
104,383731*2^3021377-1,909531,2011,other,
87,9*2^3259381-1,981173,2011,other,
67,428639*2^3506452-1,1055553,2011,other,
59,65531*2^3629342-1,1092546,2011,other,
54,415267*2^3771929-1,1135470,2011,other,
53,123547*2^3804809-1,1145367,2011,other,
49,40734^262144+1,1208473,2011,Generalized,
45,141941*2^4299438-1,1294265,2011,other,
44,353159*2^4331116-1,1303802,2011,other,
43,145310^262144+1,1353265,2011,Generalized,
40,361658^262144+1,1457075,2011,Generalized,
20,3*2^7033641+1,2117338,2011,other,
18,75898^524288+1,2558647,2011,Generalized,
5763,116040452086*2371#+1,1014,2012,other,
5735,68002763264*2749#-1,1185,2012,other,
5658,2884761225*7001#+1,3019,2012,other,
5657,2903168860*7001#+1,3019,2012,other,
5656,2915000572*7001#+1,3019,2012,other,
5655,2946259686*7001#+1,3019,2012,other,
5654,2996180304*7001#+1,3019,2012,other,
5653,3124777373*7001#+1,3019,2012,other,
5646,43697976428649*2^9999-1,3024,2012,Quadruplet,
5645,43697976428649*2^9999+1,3024,2012,Quadruplet,
5644,43697976428649*2^9999+5,3024,2012,Quadruplet,
5643,43697976428649*2^9999+7,3024,2012,Quadruplet,
5521,1797706581*2^21353-1,6438,2012,Cunningham,
5520,1797706581*2^21354-1,6438,2012,other,
5519,1797706581*2^21355-1,6438,2012,other,
5432,(2^28759-1)/226160777,8649,2012,other,
5431,(2^28771-1)/104726441,8653,2012,other,
5430,U(42043)/1681721,8780,2012,other,
5422,V(45953)/4561241750239,9591,2012,Lucas,
5420,(2^32531-1)/(65063*25225122959),9778,2012,other,
5413,81505264551807*2^33444-1,10082,2012,Triplet,
5412,81505264551807*2^33444+1,10082,2012,Triplet,
5411,81505264551807*2^33444+5,10082,2012,Triplet,
5410,p(82352631),10101,2012,Partitions,
5409,p(82479677),10109,2012,Partitions,
5385,p(90048122),10563,2012,Partitions,
5377,p(100077222),11136,2012,Partitions,
5371,p(120052058),12198,2012,Partitions,
5307,2^56366+39079,16968,2012,ECPP,
5300,2^61792+21661,18602,2012,ECPP,
5241,133603707*2^100013-1,30116,2012,Sophie,
5240,133603707*2^100014-1,30116,2012,other,
5235,2243973027*2^104567+1,31488,2012,other,
5234,2243973027*2^104568+1,31488,2012,other,
5233,85076270*3^66215-1,31601,2012,Sophie,
5232,170152540*3^66215-1,31601,2012,other,
5208,220898780*3^75001+1,35793,2012,other,
5207,441797560*3^75001+1,35794,2012,other,
5176,84966861*2^140219-1,42219,2012,Twin,
5175,84966861*2^140219+1,42219,2012,Twin,
5170,1679081223*2^151618-1,45651,2012,Twin,
5169,1679081223*2^151618+1,45651,2012,Twin,
5144,(4529^16381-1)/4528,59886,2012,Generalized,
5143,(26371^13681-1)/26370,60482,2012,Generalized,
5101,2*7919^50227+1,195819,2012,other,
5084,18543637900515*2^666667-1,200701,2012,Sophie,
5081,18543637900515*2^666668-1,200701,2012,other,
5053,5215*2^789906+1,237790,2012,Divides,
5050,1815*2^823632+1,247942,2012,other,
5043,10^269479-7*10^134739-1,269479,2012,other,
5042,1705*2^906110+1,272770,2012,other,
5020,10^290253-2*10^145126-1,290253,2012,other,
5019,236418*17^236418+1,290906,2012,Generalized,
4988,707*2^1120218-1,337223,2012,other,
4976,819*2^1120943-1,337441,2012,other,
4972,4005*2^1121174-1,337511,2012,other,
4955,933*2^1122372-1,337871,2012,other,
4949,645*2^1122571-1,337931,2012,other,
4941,1425*2^1123016-1,338065,2012,other,
4935,685*2^1123361-1,338169,2012,other,
4926,4147*2^1123873-1,338324,2012,other,
4925,225*2^1123975-1,338353,2012,other,
4912,4105*2^1124721-1,338579,2012,other,
4911,997*2^1124781-1,338596,2012,other,
4898,14521*6^435631+1,338991,2012,Generalized,
4879,507*2^1127304-1,339356,2012,other,
4876,621*2^1127434-1,339395,2012,other,
4858,573*2^1128632-1,339755,2012,other,
4855,789*2^1128793-1,339804,2012,other,
4852,583*2^1128879-1,339830,2012,other,
4806,735*2^1131883-1,340734,2012,other,
4797,875*2^1132454-1,340906,2012,other,
4783,12927*60^191870+1,341178,2012,other,
4770,405*2^1133886-1,341337,2012,other,
4747,861*2^1135486-1,341819,2012,other,
4744,19861029*2^1135563-1,341846,2012,other,
4726,807*2^1136353-1,342080,2012,other,
4720,285*2^1136696-1,342183,2012,other,
4706,583*2^1137603-1,342456,2012,other,
4673,705*2^1140054-1,343194,2012,other,
4648,939*2^1142083-1,343805,2012,other,
4623,553*2^1143639-1,344273,2012,other,
4609,453*2^1144428-1,344510,2012,other,
4605,413*2^1144580-1,344556,2012,other,
4597,285*2^1145224-1,344750,2012,other,
4577,1256*148^158963-1,344995,2012,other,
4573,531*2^1146439-1,345116,2012,other,
4571,405*2^1146533-1,345144,2012,other,
4546,565*2^1148579-1,345760,2012,other,
4535,963*2^1149272-1,345969,2012,other,
4526,939*2^1149940-1,346170,2012,other,
4507,461*2^1150934-1,346469,2012,other,
4494,1365*2^1152143+1,346833,2012,other,
4469,851*2^1153586-1,347267,2012,other,
4459,571*2^1154111-1,347425,2012,other,
4456,1251*2^1154238-1,347464,2012,other,
4442,669*2^1155188-1,347750,2012,other,
4436,417*2^1155458-1,347831,2012,other,
4432,925*2^1155857-1,347951,2012,other,
4424,885*2^1156603-1,348176,2012,other,
4419,174885*98^174885+1,348241,2012,Generalized,
4416,793*2^1157055-1,348312,2012,other,
4393,1303*2^1158907-1,348869,2012,other,
4384,1023*2^1159630-1,349087,2012,other,
4366,1189*2^1161169-1,349550,2012,other,
4349,1281*2^1161874-1,349763,2012,other,
4346,1155*2^1162129-1,349839,2012,other,
4304,1389*2^1164408-1,350525,2012,other,
4294,1005*2^1165203-1,350765,2012,other,
4291,505*2^1165307-1,350796,2012,other,
4284,873*2^1165494-1,350852,2012,other,
4280,582833*2^1165668-1,350907,2012,other,
4278,1235*2^1165858-1,350962,2012,other,
4273,651*2^1166010-1,351007,2012,other,
4251,917*2^1167682-1,351511,2012,other,
4235,783*2^1168583-1,351782,2012,other,
4231,849*2^1169013-1,351911,2012,other,
4228,231*2^1169250-1,351982,2012,other,
4223,819*2^1169551-1,352073,2012,other,
4199,615*2^1171032-1,352519,2012,other,
4180,586085*2^1172172-1,352865,2012,other,
4179,649*2^1172271-1,352892,2012,other,
4175,1695*2^1172501+1,352962,2012,other,
4174,837*2^1172532-1,352971,2012,other,
4154,891*2^1174318-1,353508,2012,other,
4146,1075*2^1174835-1,353664,2012,other,
4116,1215*2^1176818-1,354261,2012,other,
4111,1135*2^1177225-1,354384,2012,other,
4107,1053*2^1177312-1,354410,2012,other,
4091,225*2^1177945-1,354600,2012,other,
4087,921*2^1178279-1,354701,2012,other,
4071,1015*2^1179433-1,355048,2012,other,
4070,677*2^1179464-1,355057,2012,other,
4048,923*2^1181030-1,355529,2012,other,
4040,1123*2^1181503-1,355671,2012,other,
4030,983*2^1182272-1,355903,2012,other,
4005,948*112^173968-1,356502,2012,other,
4001,655*2^1184445-1,356557,2012,other,
3981,1153*2^1185339-1,356826,2012,other,
3972,789*2^1186225-1,357093,2012,other,
3943,1365*2^1188377+1,357741,2012,other,
3909,285*2^1190854-1,358486,2012,other,
3905,825*2^1191114-1,358564,2012,other,
3885,103*2^1192775-1,359064,2012,other,
3870,873*2^1193802-1,359374,2012,other,
3865,1075*2^1194063-1,359452,2012,other,
3854,142223*2^1194492-1,359584,2012,other,
3847,153222*223^153222-1,359818,2012,Generalized,
3844,843*2^1195408-1,359857,2012,other,
3830,1335*2^1196731-1,360256,2012,other,
3828,1027*2^1196957-1,360323,2012,other,
3806,1011*2^1198498-1,360787,2012,other,
3802,943*2^1198931-1,360918,2012,other,
3782,1153*2^1199835-1,361190,2012,other,
3779,183500*93^183500+1,361222,2012,Generalized,
3762,1323*2^1200980-1,361535,2012,other,
3758,1107*2^1201166-1,361591,2012,other,
3752,927*2^1201644-1,361734,2012,other,
3743,279*2^1202283-1,361926,2012,other,
3739,945*2^1202538-1,362003,2012,other,
3737,25*800^124713-1,362055,2012,other,
3729,1035*2^1203377-1,362256,2012,other,
3722,689*2^1204032-1,362453,2012,other,
3695,120585*2^1205851-1,363003,2012,Generalized,
3693,1119*2^1205879-1,363009,2012,other,
3691,1097*2^1206076-1,363069,2012,other,
3680,154962*221^154962-1,363297,2012,Generalized,
3668,165*2^1207393+1,363464,2012,other,
3662,835*2^1207821-1,363594,2012,other,
3654,241*2^1208307-1,363740,2012,other,
3645,1035*2^1208884-1,363914,2012,other,
3634,273*2^1209170-1,363999,2012,other,
3632,951*2^1209290-1,364036,2012,other,
3629,1365*2^1209522+1,364106,2012,other,
3626,707*2^1209654-1,364145,2012,other,
3621,108045*2^1210075-1,364274,2012,other,
3567,771*2^1213789-1,365390,2012,other,
3563,143*2^1214022-1,365460,2012,other,
3554,1305*2^1215064-1,365774,2012,other,
3516,347*2^1218211+1,366721,2012,other,
3496,1305*2^1219127-1,366997,2012,other,
3488,827*2^1219466-1,367099,2012,other,
3487,1277*2^1219524-1,367117,2012,other,
3474,429*2^1220185+1,367315,2012,other,
3472,1183*2^1220323-1,367357,2012,other,
3471,107*2^1220391+1,367377,2012,other,
3461,351*2^1221009+1,367563,2012,other,
3441,1027*2^1222565-1,368032,2012,other,
3430,849*2^1223571-1,368335,2012,other,
3424,179*2^1224019+1,368469,2012,other,
3404,86*123^176510-1,368892,2012,other,
3368,1307*2^1227482-1,369513,2012,other,
3357,889*2^1228285-1,369754,2012,other,
3353,631*2^1228421-1,369795,2012,other,
3351,1315*2^1228613-1,369853,2012,other,
3337,879*2^1229303-1,370061,2012,other,
3325,1129*2^1230141-1,370313,2012,other,
3309,1119*2^1231192-1,370629,2012,other,
3297,1157*2^1231906-1,370844,2012,other,
3284,1067*2^1232654-1,371069,2012,other,
3266,705*2^1233563-1,371343,2012,other,
3257,19861029*2^1234572-1,371651,2012,other,
3253,615*2^1235039-1,371787,2012,other,
3189,435*2^1239504+1,373131,2012,other,
3185,1345*2^1239661-1,373179,2012,other,
3183,315*2^1239735+1,373200,2012,other,
3170,369*2^1240510+1,373434,2012,other,
3160,285*2^1241173+1,373633,2012,other,
3140,139*2^1242661-1,374081,2012,other,
3131,1245*2^1243197-1,374243,2012,other,
3121,178602*5^535806-1,374518,2012,Generalized,
3117,1167*2^1244321-1,374582,2012,other,
3113,1209*2^1244507-1,374638,2012,other,
3110,375*2^1244550+1,374650,2012,other,
3106,165*2^1244739+1,374706,2012,other,
3097,1061*2^1245114-1,374820,2012,other,
3092,22*3^785831-1,374939,2012,other,
3085,2053*12^347512-1,375032,2012,other,
3080,329*2^1246017+1,375092,2012,other,
3073,1269*2^1246504-1,375239,2012,other,
3041,207*2^1249252+1,376065,2012,other,
3022,1123*2^1250755-1,376518,2012,other,
3017,1395*2^1251292-1,376680,2012,other,
3013,1041*2^1252387-1,377010,2012,other,
3003,502051!7+1,377722,2012,Multifactorial,
2996,341*2^1255881+1,378061,2012,other,
2994,89725*2^1256151-1,378145,2012,Generalized,
2990,1485*2^1256516+1,378253,2012,other,
2976,291*2^1257405-1,378520,2012,other,
2970,321*2^1257859+1,378656,2012,other,
2968,1219*2^1257913-1,378673,2012,other,
2953,26*941^127533+1,379233,2012,other,
2949,291*2^1260056+1,379318,2012,other,
2947,1063*2^1260091-1,379329,2012,other,
2941,1035*2^1260911-1,379576,2012,other,
2928,3954*148^175188-1,380208,2012,other,
2925,481*2^1263444+1,380338,2012,other,
2922,1425*2^1263665-1,380405,2012,other,
2903,1041*2^1267241-1,381481,2012,other,
2896,225*2^1268579+1,381883,2012,other,
2892,1235*2^1268980-1,382005,2012,other,
2885,475*2^1269578+1,382184,2012,other,
2883,163747*6^491241-1,382266,2012,Generalized,
2879,1385*2^1270984-1,382608,2012,other,
2878,1191*2^1271153-1,382659,2012,other,
2876,1347*2^1271948-1,382898,2012,other,
2874,21701*2^1272326-1,383013,2012,other,
2870,471*2^1273000+1,383214,2012,other,
2858,255*2^1275596+1,383996,2012,other,
2855,1981*2^1276439-1,384250,2012,other,
2854,141*2^1276616+1,384302,2012,other,
2853,231*2^1278235-1,384790,2012,other,
2847,381*2^1279983+1,385316,2012,other,
2840,1141*2^1281659-1,385821,2012,other,
2836,1145*2^1282568-1,386095,2012,other,
2835,259*2^1282582+1,386099,2012,other,
2830,1015*2^1283425-1,386353,2012,other,
2825,1195*2^1284795-1,386765,2012,other,
2823,1025*2^1285388-1,386944,2012,other,
2822,305*2^1285643+1,387020,2012,other,
2817,2538*30^262614-1,387917,2012,other,
2816,439*2^1288818+1,387976,2012,other,
2812,307*2^1289306+1,388123,2012,other,
2811,455*2^1289501+1,388182,2012,other,
2810,835738017*2^1290000-1,388338,2012,other,
2809,2862479727*2^1290000-1,388339,2012,other,
2808,3160221645*2^1290000-1,388339,2012,other,
2807,3347418345*2^1290000-1,388339,2012,other,
2806,5792192997*2^1290000-1,388339,2012,other,
2805,8575097877*2^1290000-1,388339,2012,other,
2804,8909655825*2^1290000-1,388339,2012,other,
2803,11211544347*2^1290000-1,388339,2012,other,
2802,11340242595*2^1290000-1,388339,2012,other,
2801,11389198515*2^1290000-1,388339,2012,other,
2800,12257525817*2^1290000-1,388339,2012,other,
2799,12814002747*2^1290000-1,388339,2012,other,
2798,15882136965*2^1290000-1,388339,2012,other,
2797,19793417607*2^1290000-1,388339,2012,other,
2796,21141924615*2^1290000-1,388340,2012,other,
2795,22781007375*2^1290000-1,388340,2012,other,
2794,22811654325*2^1290000-1,388340,2012,other,
2793,24291776847*2^1290000-1,388340,2012,other,
2792,24441821505*2^1290000-1,388340,2012,other,
2791,25759355835*2^1290000-1,388340,2012,other,
2790,25940129427*2^1290000-1,388340,2012,other,
2789,26268238845*2^1290000-1,388340,2012,other,
2788,27706601877*2^1290000-1,388340,2012,other,
2787,30185015115*2^1290000-1,388340,2012,other,
2786,31188104787*2^1290000-1,388340,2012,other,
2785,34158740037*2^1290000-1,388340,2012,other,
2784,35783326245*2^1290000-1,388340,2012,other,
2783,35970599667*2^1290000-1,388340,2012,other,
2782,37336992075*2^1290000-1,388340,2012,other,
2781,37892782587*2^1290000-1,388340,2012,other,
2780,40870411575*2^1290000-1,388340,2012,other,
2779,41291130657*2^1290000-1,388340,2012,other,
2778,46395065715*2^1290000-1,388340,2012,other,
2777,46936849605*2^1290000-1,388340,2012,other,
2776,47104579725*2^1290000-1,388340,2012,other,
2775,48325829277*2^1290000-1,388340,2012,other,
2774,53568698727*2^1290000-1,388340,2012,other,
2773,53955457827*2^1290000-1,388340,2012,other,
2772,55829500977*2^1290000-1,388340,2012,other,
2771,56617104687*2^1290000-1,388340,2012,other,
2770,57670269765*2^1290000-1,388340,2012,other,
2769,58109428725*2^1290000-1,388340,2012,other,
2768,60496370625*2^1290000-1,388340,2012,other,
2767,61579159647*2^1290000-1,388340,2012,other,
2766,64932421227*2^1290000-1,388340,2012,other,
2765,66947810457*2^1290000-1,388340,2012,other,
2764,67098088347*2^1290000-1,388340,2012,other,
2763,67157081175*2^1290000-1,388340,2012,other,
2762,67400286705*2^1290000-1,388340,2012,other,
2761,67762687755*2^1290000-1,388340,2012,other,
2760,71626994637*2^1290000-1,388340,2012,other,
2759,71741989455*2^1290000-1,388340,2012,other,
2758,72835395717*2^1290000-1,388340,2012,other,
2757,74231734815*2^1290000-1,388340,2012,other,
2756,74675041395*2^1290000-1,388340,2012,other,
2755,78681832677*2^1290000-1,388340,2012,other,
2754,80303450925*2^1290000-1,388340,2012,other,
2753,83743656027*2^1290000-1,388340,2012,other,
2752,85794708807*2^1290000-1,388340,2012,other,
2751,86374243377*2^1290000-1,388340,2012,other,
2750,87988707537*2^1290000-1,388340,2012,other,
2749,88769823315*2^1290000-1,388340,2012,other,
2748,90446547765*2^1290000-1,388340,2012,other,
2747,91591849695*2^1290000-1,388340,2012,other,
2746,93083051085*2^1290000-1,388340,2012,other,
2745,93693950385*2^1290000-1,388340,2012,other,
2744,94451818965*2^1290000-1,388340,2012,other,
2743,95886360717*2^1290000-1,388340,2012,other,
2742,96382357725*2^1290000-1,388340,2012,other,
2741,98571391305*2^1290000-1,388340,2012,other,
2740,100492076865*2^1290000-1,388340,2012,other,
2739,102249845505*2^1290000-1,388340,2012,other,
2738,102649169667*2^1290000-1,388340,2012,other,
2737,102979478985*2^1290000-1,388340,2012,other,
2736,103809047877*2^1290000-1,388340,2012,other,
2735,104252569725*2^1290000-1,388340,2012,other,
2734,106106030067*2^1290000-1,388340,2012,other,
2733,108456662097*2^1290000-1,388340,2012,other,
2732,109602297105*2^1290000-1,388340,2012,other,
2731,109728390567*2^1290000-1,388340,2012,other,
2730,109785059895*2^1290000-1,388340,2012,other,
2729,110261397207*2^1290000-1,388340,2012,other,
2728,110657314995*2^1290000-1,388340,2012,other,
2727,113018799645*2^1290000-1,388340,2012,other,
2726,113105840787*2^1290000-1,388340,2012,other,
2725,115619101425*2^1290000-1,388340,2012,other,
2724,116194215975*2^1290000-1,388340,2012,other,
2723,117474057165*2^1290000-1,388340,2012,other,
2722,119033472225*2^1290000-1,388340,2012,other,
2721,119117512797*2^1290000-1,388340,2012,other,
2720,119948786085*2^1290000-1,388340,2012,other,
2719,120238040277*2^1290000-1,388340,2012,other,
2718,120816250005*2^1290000-1,388340,2012,other,
2717,120858765657*2^1290000-1,388340,2012,other,
2716,124490444505*2^1290000-1,388340,2012,other,
2715,124901305767*2^1290000-1,388340,2012,other,
2714,125000856225*2^1290000-1,388340,2012,other,
2713,126206397135*2^1290000-1,388340,2012,other,
2712,128031171567*2^1290000-1,388340,2012,other,
2711,129948302025*2^1290000-1,388340,2012,other,
2710,134368933107*2^1290000-1,388340,2012,other,
2709,139604474667*2^1290000-1,388340,2012,other,
2708,139942421115*2^1290000-1,388340,2012,other,
2707,141451978605*2^1290000-1,388340,2012,other,
2706,142631667285*2^1290000-1,388340,2012,other,
2705,142726671747*2^1290000-1,388340,2012,other,
2704,143727108945*2^1290000-1,388340,2012,other,
2703,143858211957*2^1290000-1,388340,2012,other,
2702,144033075777*2^1290000-1,388340,2012,other,
2701,144643566987*2^1290000-1,388340,2012,other,
2700,145028100747*2^1290000-1,388340,2012,other,
2699,148042284915*2^1290000-1,388340,2012,other,
2698,149875663077*2^1290000-1,388340,2012,other,
2697,151013786217*2^1290000-1,388340,2012,other,
2696,151155604437*2^1290000-1,388340,2012,other,
2695,156343422987*2^1290000-1,388340,2012,other,
2694,157608823797*2^1290000-1,388340,2012,other,
2693,157842034035*2^1290000-1,388340,2012,other,
2692,159234953055*2^1290000-1,388340,2012,other,
2691,162236489067*2^1290000-1,388340,2012,other,
2690,162624326205*2^1290000-1,388340,2012,other,
2689,163354130247*2^1290000-1,388340,2012,other,
2688,164130856365*2^1290000-1,388340,2012,other,
2687,164136998667*2^1290000-1,388340,2012,other,
2686,173890572975*2^1290000-1,388340,2012,other,
2685,177472004367*2^1290000-1,388340,2012,other,
2684,178847912745*2^1290000-1,388340,2012,other,
2683,178994497575*2^1290000-1,388340,2012,other,
2682,179108866545*2^1290000-1,388340,2012,other,
2681,179253304767*2^1290000-1,388340,2012,other,
2680,180160106877*2^1290000-1,388340,2012,other,
2679,187663366467*2^1290000-1,388340,2012,other,
2678,188177713677*2^1290000-1,388340,2012,other,
2677,188190677397*2^1290000-1,388340,2012,other,
2676,191408032317*2^1290000-1,388340,2012,other,
2675,192026664657*2^1290000-1,388340,2012,other,
2674,196125259785*2^1290000-1,388340,2012,other,
2673,197583066117*2^1290000-1,388340,2012,other,
2672,198089444247*2^1290000-1,388340,2012,other,
2671,199069404915*2^1290000-1,388340,2012,other,
2670,199294582755*2^1290000-1,388340,2012,other,
2669,199394692497*2^1290000-1,388340,2012,other,
2668,199585358175*2^1290000-1,388340,2012,other,
2667,200476914855*2^1290000-1,388340,2012,other,
2666,201526452825*2^1290000-1,388340,2012,other,
2665,203226067005*2^1290000-1,388341,2012,other,
2664,204320222925*2^1290000-1,388341,2012,other,
2663,206951361687*2^1290000-1,388341,2012,other,
2662,212135542017*2^1290000-1,388341,2012,other,
2661,213198352425*2^1290000-1,388341,2012,other,
2660,213551907327*2^1290000-1,388341,2012,other,
2659,214133231697*2^1290000-1,388341,2012,other,
2658,216416889747*2^1290000-1,388341,2012,other,
2657,218503291197*2^1290000-1,388341,2012,other,
2656,223708869267*2^1290000-1,388341,2012,other,
2655,225597278625*2^1290000-1,388341,2012,other,
2654,230348154045*2^1290000-1,388341,2012,other,
2653,231572092755*2^1290000-1,388341,2012,other,
2652,232328690025*2^1290000-1,388341,2012,other,
2651,232740942315*2^1290000-1,388341,2012,other,
2650,232778043615*2^1290000-1,388341,2012,other,
2649,234475865655*2^1290000-1,388341,2012,other,
2648,239413763685*2^1290000-1,388341,2012,other,
2647,241209176217*2^1290000-1,388341,2012,other,
2646,244623864417*2^1290000-1,388341,2012,other,
2645,244704278205*2^1290000-1,388341,2012,other,
2644,246240340467*2^1290000-1,388341,2012,other,
2643,248186300367*2^1290000-1,388341,2012,other,
2642,250180546665*2^1290000-1,388341,2012,other,
2641,251269114257*2^1290000-1,388341,2012,other,
2640,251309396835*2^1290000-1,388341,2012,other,
2639,252970964277*2^1290000-1,388341,2012,other,
2638,258572084955*2^1290000-1,388341,2012,other,
2637,260093628975*2^1290000-1,388341,2012,other,
2636,260109856197*2^1290000-1,388341,2012,other,
2635,260227577727*2^1290000-1,388341,2012,other,
2634,260715365475*2^1290000-1,388341,2012,other,
2633,260849015397*2^1290000-1,388341,2012,other,
2632,261643415715*2^1290000-1,388341,2012,other,
1740,141*2^1291195+1,388691,2012,other,
1736,1029*2^1292517-1,389090,2012,other,
1735,397*2^1293028+1,389243,2012,other,
1729,125132*6^500528-1,389492,2012,Generalized,
1726,18*189^171175+1,389675,2012,other,
1721,1215*2^1295400-1,389958,2012,other,
1708,587*2^1300051+1,391358,2012,other,
1702,429*2^1301821+1,391890,2012,other,
1700,1185*2^1301930+1,391924,2012,other,
1696,609*2^1302898+1,392215,2012,other,
1694,897*2^1303608+1,392429,2012,other,
1692,24217*2^1304085-1,392574,2012,other,
1691,83*500^145465+1,392608,2012,other,
1690,945*2^1304747+1,392771,2012,other,
1688,1485*2^1305359-1,392956,2012,other,
1687,1105*2^1305693-1,393056,2012,other,
1686,135*2^1306036+1,393159,2012,other,
1685,1329*2^1306295-1,393238,2012,other,
1684,351*2^1306875+1,393412,2012,other,
1682,399*2^1307450+1,393585,2012,other,
1679,1157*2^1308162-1,393800,2012,other,
1677,1171*2^1309048+1,394066,2012,other,
1676,763*2^1309300+1,394142,2012,other,
1674,395*2^1309751+1,394277,2012,other,
1670,639*2^1310707+1,394565,2012,other,
1669,1015*2^1311187-1,394710,2012,other,
1667,1097*2^1311771+1,394886,2012,other,
1666,357*2^1311930+1,394933,2012,other,
1661,987*2^1314127+1,395595,2012,other,
1658,1105*2^1314586+1,395733,2012,other,
1657,431*2^1315773+1,396090,2012,other,
1656,28*731^138318+1,396133,2012,other,
1653,451*2^1316832+1,396409,2012,other,
1650,269*2^1317053+1,396475,2012,other,
1649,1225*2^1317269-1,396541,2012,other,
1648,289*2^1317378+1,396573,2012,Generalized,
1646,723*2^1318416+1,396886,2012,other,
1642,525806!7+1,397102,2012,Multifactorial,
1640,759*2^1319718+1,397278,2012,other,
1639,363*2^1319756+1,397289,2012,other,
1636,471*2^1320865+1,397623,2012,other,
1635,1245*2^1321376-1,397777,2012,other,
1634,427*2^1321706+1,397876,2012,other,
1633,1371*2^1322077-1,397988,2012,other,
1632,1221*2^1322591-1,398143,2012,other,
1630,897*2^1322843+1,398219,2012,other,
1629,311*2^1323071+1,398287,2012,other,
1628,113966*6^511831+1,398287,2012,other,
1627,1089*2^1323857-1,398524,2012,other,
1625,341*2^1325277+1,398951,2012,other,
1624,1275*2^1325641-1,399061,2012,other,
1623,957*2^1325706+1,399081,2012,other,
1622,169*2^1327114+1,399504,2012,Generalized,
1621,1293*2^1327556-1,399638,2012,other,
1620,445*2^1328250+1,399846,2012,other,
1618,1341*2^1328829-1,400021,2012,other,
1616,921*2^1330248+1,400448,2012,other,
1615,261*2^1331356+1,400781,2012,other,
1612,1293*2^1332159-1,401023,2012,other,
1610,177*2^1334422-1,401704,2012,other,
1609,1065*2^1334660-1,401776,2012,other,
1607,335*2^1335337+1,401980,2012,other,
1605,739*2^1335442+1,402011,2012,other,
1603,345*2^1335896+1,402148,2012,other,
1602,203*2^1335989+1,402176,2012,other,
1601,863*2^1336093+1,402208,2012,other,
1599,933*2^1336282+1,402264,2012,other,
1598,143*2^1336358-1,402286,2012,other,
1597,1295*2^1337012-1,402484,2012,other,
1596,107*2^1337019+1,402485,2012,other,
1595,407*2^1337203+1,402541,2012,other,
1594,403*2^1337280+1,402564,2012,other,
1592,1309*2^1337417-1,402606,2012,other,
1590,835*2^1337808+1,402724,2012,other,
1587,1099*2^1338041-1,402794,2012,other,
1586,1261*2^1338371-1,402893,2012,other,
1585,921*2^1338408+1,402904,2012,other,
1583,487*2^1340126+1,403421,2012,other,
1582,1197*2^1340338+1,403486,2012,other,
1581,1079*2^1340511+1,403538,2012,other,
1580,941*2^1341569+1,403856,2012,other,
1579,607*2^1342336+1,404087,2012,other,
1573,553*2^1344056+1,404604,2012,other,
1571,1169*2^1344265+1,404668,2012,other,
1569,931*2^1344712+1,404802,2012,other,
1568,721*2^1346084+1,405215,2012,other,
1564,765*2^1346535+1,405351,2012,other,
1560,975*2^1347675+1,405694,2012,other,
1559,1075*2^1348100+1,405822,2012,other,
1558,269*2^1348497+1,405941,2012,other,
1556,195*2^1349818+1,406338,2012,other,
1555,1005*2^1349820+1,406340,2012,other,
1554,1157*2^1350311+1,406488,2012,other,
1553,837*2^1350463+1,406533,2012,other,
1552,539*2^1350581+1,406569,2012,other,
1551,709*2^1351346+1,406799,2012,other,
1550,631*2^1351932+1,406975,2012,other,
1545,1155*2^1352821+1,407243,2012,other,
1543,763*2^1352872+1,407258,2012,other,
1540,703*2^1353866+1,407558,2012,other,
1538,195*2^1354264+1,407677,2012,other,
1536,199*2^1354385-1,407713,2012,other,
1534,771*2^1354880+1,407863,2012,other,
1532,357*2^1355535+1,408060,2012,other,
1531,347*2^1355595+1,408078,2012,other,
1530,205*2^1355814+1,408143,2012,other,
1528,223*2^1356316+1,408295,2012,other,
1523,1455*2^1357070+1,408522,2012,other,
1521,203*2^1357425+1,408628,2012,other,
