Letter	Upper	French	German	Spanish	Portuguese	Esperanto	Italian	Turkish	Swedish	Polish	Dutch	Danish	Icelandic	Finnish
ô	Ô	0.02	0	0	0.64	0	0	0	0	0	0	0	0	0
ö	Ö	0	0.57	0	0	0	0	0.27	1.31	0	0	0	0.78	0.44
ø	Ø	0	0	0	0	0	0	0	0	0	0	0.94	0	0
ù	Ù	0.06	0	0	0	0	0.17	0	0	0	0	0	0	0
ú	Ú	0	0	0.17	0.21	0	0	0	0	0	0	0	0.61	0
ü	Ü	0	1	0.01	0.03	0	0	1.99	0	0	0	0	0	0
ý	Ý	0	0	0	0	0	0	0	0	0	0	0	0.23	0
þ	Þ	0	0	0	0	0	0	0	0	0	0	0	1.46	0
ą	Ą	0	0	0	0	0	0	0	0	0.7	0	0	0	0
ć	Ć	0	0	0	0	0	0	0	0	0.74	0	0	0	0
ĉ	Ĉ	0	0	0	0	0.66	0	0	0	0	0	0	0	0
ę	Ę	0	0	0	0	0	0	0	0	1.04	0	0	0	0
ĝ	Ĝ	0	0	0	0	0.69	0	0	0	0	0	0	0	0
ğ	Ğ	0	0	0	0	0	0	1.13	0	0	0	0	0	0
ĥ	Ĥ	0	0	0	0	0.02	0	0	0	0	0	0	0	0
ı	I	0	0	0	0	0	0	5.199	0	0	0	0	0	0
ĵ	Ĵ	0	0	0	0	0.06	0	0	0	0	0	0	0	0
ł	Ł	0	0	0	0	0	0	0	0	2.11	0	0	0	0
ń	Ń	0	0	0	0	0	0	0	0	0.36	0	0	0	0
œ	Œ	0.02	0	0	0	0	0	0	0	0	0	0	0	0
ś	Ś	0	0	0	0	0	0	0	0	0.81	0	0	0	0
ŝ	Ŝ	0	0	0	0	0.39	0	0	0	0	0	0	0	0
ş	Ş	0	0	0	0	0	0	1.94	0	0	0	0	0	0
ŭ	Ŭ	0	0	0	0	0.52	0	0	0	0	0	0	0	0
ź	Ź	0	0	0	0	0	0	0	0	0.08	0	0	0	0
ż	Ż	0	0	0	0	0	0	0	0	0.71	0	0	0	0
